"importo","riduzione","cap","nabb0512","nvisit13","nvisite0512","eta13","churn"
49,"ABBONAMENTI MUSEI TORINO","10127",0,2,0,38,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10141",6,2,43,66,"0"
49,"ABBONAMENTI MUSEI TORINO","10145",0,27,0,28,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","14100",4,8,47,27,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10090",0,5,0,44,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10093",2,1,13,30,"0"
44,"ABBONAMENTI MUSEI TORINO","10093",4,2,19,63,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10100",3,10,23,48,"0"
44,"ABBONAMENTI MUSEI TORINO","14100",0,10,0,61,"1"
44,"ABBONAMENTI MUSEI TORINO","10134",4,12,32,47,"0"
44,"ABBONAMENTI MUSEI TORINO","10152",4,3,20,39,"1"
49,"ABBONAMENTI MUSEI TORINO","10141",0,4,0,37,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10100",8,3,41,77,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10091",1,8,3,39,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10135",1,0,7,53,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10020",1,1,4,72,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10126",5,5,24,34,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10131",8,11,38,68,"0"
44,"ABBONAMENTI MUSEI TORINO","10040",4,13,15,64,"1"
44,"ABBONAMENTI MUSEI TORINO","14100",5,15,105,50,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10121",4,5,29,46,"1"
44,"ABBONAMENTI MUSEI TORINO","10127",2,2,7,58,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10141",4,0,27,57,"0"
44,"ABBONAMENTI MUSEI TORINO","10146",7,3,63,63,"0"
44,"ABBONAMENTI MUSEI TORINO","10093",8,0,18,57,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10136",4,10,66,66,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10080",0,0,0,71,"1"
44,"ABBONAMENTI MUSEI TORINO","10135",6,16,45,38,"0"
49,"ABBONAMENTI MUSEI TORINO","10022",0,3,0,36,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10144",0,5,0,77,"0"
44,"ABBONAMENTI MUSEI TORINO","10135",6,2,60,41,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10122",1,0,3,14,"1"
44,"ABBONAMENTI MUSEI TORINO","10122",5,0,11,50,"1"
49,"ABBONAMENTI MUSEI TORINO","10064",0,4,0,51,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10060",0,10,0,43,"1"
28,"ABBONAMENTO RIDOTTO SCONTATO","10146",0,1,0,19,"1"
10,"ABBONAMENTO RIDOTTO SCONTATO","18019",0,1,0,24,"1"
44,"ABBONAMENTI MUSEI TORINO","10123",8,10,80,58,"0"
44,"ABBONAMENTI MUSEI TORINO","10133",5,10,79,64,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10144",3,5,21,69,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10156",7,2,61,67,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10142",1,10,4,42,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10015",8,0,1,73,"0"
44,"ABBONAMENTI MUSEI TORINO","10081",5,2,42,60,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10136",0,7,0,83,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10154",0,0,0,23,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","14100",0,2,0,24,"1"
49,"ABBONAMENTI MUSEI TORINO","10094",0,17,0,60,"0"
44,"ABBONAMENTI MUSEI TORINO","10125",6,7,21,49,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10124",7,1,26,46,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","10100",2,15,27,28,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10124",8,4,40,71,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10141",3,4,28,67,"0"
44,"ABBONAMENTI MUSEI TORINO","10100",3,5,9,60,"0"
44,"ABBONAMENTI MUSEI TORINO","10128",1,2,8,34,"0"
44,"ABBONAMENTI MUSEI TORINO","10141",4,2,9,60,"0"
44,"ABBONAMENTI MUSEI TORINO","10141",1,3,2,36,"0"
44,"ABBONAMENTI MUSEI TORINO","15100",3,11,53,45,"1"
28,"OFFERTA CONVENZIONE 28€","10123",1,0,1,16,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10121",4,8,25,88,"1"
44,"ABBONAMENTI MUSEI TORINO","10121",7,8,27,63,"0"
49,"ABBONAMENTI MUSEI TORINO","10040",2,11,14,60,"1"
44,"ABBONAMENTI MUSEI TORINO","10023",0,4,0,38,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10034",2,6,15,69,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10044",0,0,0,75,"1"
49,"ABBONAMENTI MUSEI TORINO","10144",0,5,0,32,"0"
49,"ABBONAMENTI MUSEI TORINO","12038",0,0,0,38,"1"
49,"ABBONAMENTI MUSEI TORINO","10129",0,5,0,36,"0"
44,"ABBONAMENTI MUSEI TORINO","10151",1,3,7,60,"1"
44,"ABBONAMENTI MUSEI TORINO","10155",3,7,30,62,"0"
44,"ABBONAMENTI MUSEI TORINO","10050",3,4,7,60,"0"
49,"ABBONAMENTI MUSEI TORINO","10138",1,6,10,30,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10024",2,2,4,78,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10148",1,10,19,56,"0"
44,"ABBONAMENTI MUSEI TORINO","14048",6,0,8,33,"1"
44,"ABBONAMENTI MUSEI TORINO","10145",3,11,24,60,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10147",1,17,17,65,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10129",7,12,36,67,"0"
0,"ABBONAMENTO MUSEI OMAGGIO","10100",6,11,82,44,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10122",3,5,20,61,"0"
44,"ABBONAMENTI MUSEI TORINO","10122",2,2,9,31,"1"
44,"ABBONAMENTI MUSEI TORINO","12037",4,8,24,41,"0"
44,"ABBONAMENTI MUSEI TORINO","10060",4,2,2,31,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10022",3,2,0,47,"1"
28,"OFFERTA CONVENZIONE 28€","10123",4,9,83,63,"1"
44,"OFFERTA SU QUANTITATIVO 44€","10152",0,1,0,50,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10128",7,2,44,65,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10142",2,4,2,25,"1"
44,"OFFERTA SU QUANTITATIVO 44€","10121",0,5,0,47,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10127",0,5,0,28,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10020",0,2,0,69,"1"
49,"ABBONAMENTI MUSEI TORINO","10133",0,2,0,63,"1"
44,"ABBONAMENTI MUSEI TORINO","10147",5,3,16,61,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10095",2,9,32,76,"0"
44,"ABBONAMENTI MUSEI TORINO","10122",3,1,7,50,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10090",0,12,0,75,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10129",0,2,0,25,"1"
44,"ABBONAMENTI MUSEI TORINO","10040",6,0,36,43,"1"
44,"ABBONAMENTI MUSEI TORINO","10078",0,28,0,63,"1"
44,"ABBONAMENTI MUSEI TORINO","10132",2,5,15,49,"0"
44,"ABBONAMENTI MUSEI TORINO","10077",4,0,35,50,"0"
49,"ABBONAMENTI MUSEI TORINO","80136",0,10,0,41,"1"
44,"ABBONAMENTI MUSEI TORINO","10028",4,10,23,62,"0"
44,"ABBONAMENTI MUSEI TORINO","10078",1,21,18,44,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10146",4,13,28,81,"0"
49,"ABBONAMENTI MUSEI TORINO","10155",0,0,0,61,"1"
44,"ABBONAMENTI MUSEI TORINO","10153",2,13,16,64,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10142",2,13,13,48,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10126",6,7,45,77,"0"
49,"ABBONAMENTI MUSEI TORINO","10122",0,6,0,52,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10137",0,3,0,76,"1"
30,"PASS 60 e VOUCHER OFFERTA 30€","12037",1,0,3,57,"0"
44,"ABBONAMENTI MUSEI TORINO","10126",1,10,14,38,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10141",1,18,17,76,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10143",0,4,0,68,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10040",1,1,4,68,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","12037",5,2,31,73,"0"
0,"ABBONAMENTO MUSEI OMAGGIO","10064",0,1,0,64,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10095",2,14,30,26,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10088",1,4,12,25,"0"
49,"ABBONAMENTI MUSEI TORINO","13039",0,7,0,55,"1"
44,"ABBONAMENTI MUSEI TORINO","10135",2,9,17,45,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10023",0,7,0,76,"0"
44,"ABBONAMENTI MUSEI TORINO","10045",1,0,1,56,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10155",0,4,0,72,"0"
44,"ABBONAMENTI MUSEI TORINO","13100",0,12,0,30,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10152",3,31,132,60,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10126",2,6,24,73,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10078",7,6,55,78,"0"
49,"ABBONAMENTI MUSEI TORINO","13039",0,7,0,59,"1"
44,"ABBONAMENTI MUSEI TORINO","10124",7,2,25,59,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","12100",0,4,0,25,"0"
49,"ABBONAMENTI MUSEI TORINO","12039",1,2,8,56,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10027",7,24,136,75,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10146",4,2,23,72,"0"
44,"ABBONAMENTI MUSEI TORINO","10139",2,9,23,54,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10057",2,5,9,51,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10078",1,3,8,75,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10098",0,19,0,39,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10100",1,8,9,24,"0"
49,"ABBONAMENTI MUSEI TORINO","10149",0,4,0,40,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","14024",7,7,28,70,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10141",1,17,18,66,"0"
44,"ABBONAMENTI MUSEI TORINO","10041",8,5,39,41,"0"
44,"ABBONAMENTI MUSEI TORINO","10126",2,6,23,49,"0"
44,"ABBONAMENTI MUSEI TORINO","10046",1,3,8,46,"0"
28,"OFFERTA CONVENZIONE 28€","10128",0,0,0,63,"0"
44,"ABBONAMENTI MUSEI TORINO","10095",3,6,11,36,"0"
44,"ABBONAMENTI MUSEI TORINO","10042",0,1,0,59,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10149",4,7,9,81,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10141",1,4,6,73,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10129",2,4,18,77,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10095",1,18,8,22,"1"
49,"ABBONAMENTI MUSEI TORINO","10146",0,4,0,63,"1"
44,"ABBONAMENTI MUSEI TORINO","10093",2,7,13,45,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10051",1,7,5,73,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10133",8,6,60,77,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10127",2,2,11,76,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10135",7,10,71,73,"0"
44,"ABBONAMENTI MUSEI TORINO","10155",0,8,0,64,"1"
44,"ABBONAMENTI MUSEI TORINO","10122",3,0,7,63,"0"
44,"ABBONAMENTI MUSEI TORINO","10128",5,8,22,59,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10127",1,4,8,50,"0"
44,"ABBONAMENTI MUSEI TORINO","10138",5,10,38,63,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10147",0,0,0,58,"1"
49,"ABBONAMENTI MUSEI TORINO","10128",0,6,0,44,"0"
49,"ABBONAMENTI MUSEI TORINO","14030",2,9,10,57,"0"
44,"OFFERTA SU QUANTITATIVO 44€","10127",5,1,23,49,"0"
44,"ABBONAMENTI MUSEI TORINO","10010",6,22,57,43,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10093",4,1,44,37,"1"
44,"ABBONAMENTI MUSEI TORINO","10129",3,12,21,59,"0"
44,"ABBONAMENTI MUSEI TORINO","10141",0,14,0,49,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10142",1,22,25,49,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10100",0,12,0,34,"1"
44,"ABBONAMENTI MUSEI TORINO","12030",3,1,9,64,"0"
44,"ABBONAMENTI MUSEI TORINO","10090",1,4,11,54,"0"
44,"ABBONAMENTI MUSEI TORINO","10126",6,7,21,52,"0"
44,"ABBONAMENTI MUSEI TORINO","10144",2,10,13,46,"0"
28,"ABBONAMENTO MUSEI su carte EDISU","70051",0,19,0,19,"1"
49,"ABBONAMENTI MUSEI TORINO","10156",1,2,8,62,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10143",0,20,0,43,"0"
44,"ABBONAMENTI MUSEI TORINO","10132",0,12,0,28,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10015",2,0,8,52,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10126",4,10,37,58,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10042",0,4,0,33,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10040",0,3,0,23,"1"
49,"ABBONAMENTI MUSEI TORINO","10099",2,6,11,62,"0"
49,"ABBONAMENTI MUSEI TORINO","10141",0,4,0,41,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10153",0,17,0,50,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10142",6,6,52,66,"0"
44,"ABBONAMENTI MUSEI TORINO","13100",5,2,15,42,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10100",2,4,19,79,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10094",2,7,18,48,"0"
49,"ABBONAMENTI MUSEI TORINO","10010",0,6,0,62,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10147",5,3,39,73,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10154",4,3,9,75,"0"
49,"ABBONAMENTI MUSEI TORINO","12023",0,6,0,47,"0"
44,"ABBONAMENTI MUSEI TORINO","10100",4,6,37,32,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10100",0,5,0,56,"0"
49,"ABBONAMENTI MUSEI TORINO","10080",0,6,0,38,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10094",2,4,26,22,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","14049",1,3,6,71,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10137",0,4,0,67,"1"
10,"ABBONAMENTO RIDOTTO SCONTATO","12020",0,1,0,22,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10123",5,0,33,78,"0"
49,"ABBONAMENTI MUSEI TORINO","10093",0,0,0,58,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10134",7,1,47,67,"0"
44,"ABBONAMENTI MUSEI TORINO","10095",7,7,49,37,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10132",6,1,57,82,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10152",3,2,5,70,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10072",4,6,18,71,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10093",2,1,8,66,"1"
44,"ABBONAMENTI MUSEI TORINO","10080",3,2,25,55,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","12038",7,2,57,68,"1"
44,"ABBONAMENTI MUSEI TORINO","10124",0,10,0,38,"0"
30,"OFFERTA SU QUANTITATIVO 30€","15053",0,0,0,46,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10100",1,5,9,63,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10100",0,3,0,63,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10098",0,11,0,23,"0"
28,"OFFERTA CONVENZIONE 28€","15020",0,1,0,24,"1"
44,"ABBONAMENTI MUSEI TORINO","10128",1,15,22,46,"0"
44,"ABBONAMENTI MUSEI TORINO","10132",3,4,13,62,"0"
44,"ABBONAMENTI MUSEI TORINO","10132",8,5,46,27,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10132",1,6,2,23,"1"
44,"ABBONAMENTI MUSEI TORINO","10093",3,2,22,53,"1"
44,"ABBONAMENTI MUSEI TORINO","10141",7,1,18,64,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10147",1,5,4,9,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10078",0,1,0,70,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10131",2,1,11,43,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10048",0,1,0,58,"0"
44,"ABBONAMENTI MUSEI TORINO","10070",5,4,29,46,"0"
44,"ABBONAMENTI MUSEI TORINO","10147",1,4,4,46,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10099",0,8,0,13,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10137",0,7,0,48,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10155",1,6,10,13,"0"
44,"ABBONAMENTI MUSEI TORINO","39100",1,1,11,43,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10078",2,13,30,70,"0"
44,"ABBONAMENTI MUSEI TORINO","10123",5,11,26,55,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10040",1,4,3,70,"1"
44,"ABBONAMENTI MUSEI TORINO","10131",5,7,33,43,"0"
44,"ABBONAMENTI MUSEI TORINO","10149",1,11,9,41,"0"
44,"ABBONAMENTI MUSEI TORINO","10098",0,6,0,57,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10131",4,37,55,78,"0"
0,"ABBONAMENTO MUSEI OMAGGIO","10123",0,2,0,63,"1"
49,"ABBONAMENTI MUSEI TORINO","10129",3,5,6,64,"0"
49,"ABBONAMENTI MUSEI TORINO","10126",4,5,17,38,"0"
49,"ABBONAMENTI MUSEI TORINO","10022",0,10,0,63,"0"
44,"ABBONAMENTI MUSEI TORINO","10146",5,4,26,58,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10126",8,7,48,85,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10028",2,1,5,52,"1"
44,"ABBONAMENTI MUSEI TORINO","12100",4,21,47,43,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","12100",1,9,14,35,"0"
44,"ABBONAMENTI MUSEI TORINO","10154",7,71,475,48,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10129",4,3,34,86,"1"
44,"ABBONAMENTI MUSEI TORINO","10153",5,10,47,59,"0"
44,"ABBONAMENTI MUSEI TORINO","10125",2,13,27,58,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10121",2,10,13,74,"0"
49,"ABBONAMENTI MUSEI TORINO","10098",3,1,18,55,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10125",0,6,0,63,"0"
44,"ABBONAMENTI MUSEI TORINO","10128",1,4,4,35,"0"
0,"ABBONAMENTO MUSEI OMAGGIO","10137",7,1,37,56,"0"
49,"ABBONAMENTI MUSEI TORINO","10048",1,2,3,56,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10020",0,0,0,67,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10136",1,2,6,8,"0"
0,"ABBONAMENTO MUSEI OMAGGIO","10141",4,15,39,63,"0"
44,"ABBONAMENTI MUSEI TORINO","10040",3,12,23,48,"0"
44,"ABBONAMENTI MUSEI TORINO","10022",1,8,8,60,"0"
49,"ABBONAMENTI MUSEI TORINO","12062",0,3,0,51,"1"
30,"PASS 60 e VOUCHER OFFERTA 30€","10122",0,5,0,44,"0"
44,"ABBONAMENTI MUSEI TORINO","10121",8,58,181,59,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","12100",0,16,0,10,"0"
44,"ABBONAMENTI MUSEI TORINO","10136",1,2,7,42,"0"
44,"ABBONAMENTI MUSEI TORINO","10024",0,0,0,56,"1"
44,"ABBONAMENTI MUSEI TORINO","10029",1,6,12,47,"0"
44,"ABBONAMENTI MUSEI TORINO","10078",4,7,29,58,"0"
49,"ABBONAMENTI MUSEI TORINO","10048",0,0,0,36,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10137",2,3,5,67,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10147",6,4,26,62,"1"
49,"ABBONAMENTI MUSEI TORINO","10156",0,14,0,63,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10126",0,11,0,32,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10023",4,9,27,64,"0"
44,"ABBONAMENTI MUSEI TORINO","10125",4,7,40,50,"0"
44,"ABBONAMENTI MUSEI TORINO","10149",8,5,44,60,"0"
28,"OFFERTA CONVENZIONE 28€","10092",0,1,0,15,"1"
10,"ABBONAMENTO RIDOTTO SCONTATO","10151",0,5,0,20,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","10040",2,5,12,30,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10151",0,8,0,22,"0"
44,"ABBONAMENTI MUSEI TORINO","10073",4,1,20,51,"1"
28,"ABBONAMENTO RIDOTTO SCONTATO","10126",1,8,1,29,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","10040",0,3,0,22,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10152",1,7,3,25,"1"
28,"ABBONAMENTO RIDOTTO SCONTATO","10152",0,6,0,28,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10100",7,2,33,49,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10131",1,1,0,69,"1"
30,"PASS 60 e VOUCHER OFFERTA 30€","10121",7,3,33,61,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10143",7,8,43,61,"0"
44,"ABBONAMENTI MUSEI TORINO","10156",2,4,18,62,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10153",2,2,21,77,"0"
44,"ABBONAMENTI MUSEI TORINO","10146",8,2,33,42,"0"
49,"ABBONAMENTI MUSEI TORINO","10129",1,10,13,54,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10146",1,0,5,26,"1"
44,"ABBONAMENTI MUSEI TORINO","10023",2,6,15,37,"1"
44,"ABBONAMENTI MUSEI TORINO","10146",5,6,40,62,"0"
44,"ABBONAMENTI MUSEI TORINO","10016",1,3,3,44,"1"
44,"ABBONAMENTI MUSEI TORINO","10123",1,11,4,56,"1"
44,"ABBONAMENTI MUSEI TORINO","10141",8,9,76,49,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10128",7,20,65,77,"0"
44,"ABBONAMENTI MUSEI TORINO","10134",2,11,7,48,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10144",1,0,3,39,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10123",0,3,0,33,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10093",1,12,0,52,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10094",0,22,0,66,"0"
44,"ABBONAMENTI MUSEI TORINO","10126",6,4,50,40,"0"
49,"ABBONAMENTI MUSEI TORINO","10126",0,6,0,52,"0"
44,"ABBONAMENTI MUSEI TORINO","10041",6,2,55,58,"0"
49,"ABBONAMENTI MUSEI TORINO","10128",0,12,0,33,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","10148",1,1,8,16,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10154",5,9,36,74,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10100",4,4,25,78,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10100",0,6,0,77,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10051",0,7,0,53,"1"
44,"ABBONAMENTI MUSEI TORINO","10060",0,6,0,37,"1"
44,"ABBONAMENTI MUSEI TORINO","10135",6,14,76,56,"0"
44,"OFFERTA SU QUANTITATIVO 44€","10148",0,1,0,63,"0"
49,"ABBONAMENTI MUSEI TORINO","10128",1,9,3,34,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10137",0,1,0,33,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10128",1,17,4,75,"1"
44,"ABBONAMENTI MUSEI TORINO","10043",1,18,20,57,"0"
44,"ABBONAMENTI MUSEI TORINO","10099",6,7,40,61,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10141",0,5,0,23,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10023",3,13,22,45,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10024",5,13,53,61,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10128",2,1,1,85,"1"
44,"ABBONAMENTI MUSEI TORINO","10134",8,18,144,62,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10098",2,6,16,65,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","10139",0,11,0,21,"1"
44,"ABBONAMENTI MUSEI TORINO","10154",2,9,4,53,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10148",5,0,15,66,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","12035",0,6,0,26,"1"
44,"ABBONAMENTI MUSEI TORINO","10125",8,4,78,64,"0"
44,"ABBONAMENTI MUSEI TORINO","10153",3,21,66,48,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10135",4,3,14,42,"0"
44,"ABBONAMENTI MUSEI TORINO","10025",0,3,0,50,"0"
49,"ABBONAMENTI MUSEI TORINO","10095",1,7,5,35,"0"
44,"ABBONAMENTI MUSEI TORINO","10093",3,2,13,64,"1"
10,"ABBONAMENTO RIDOTTO SCONTATO","80044",0,3,0,25,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10133",7,13,69,74,"0"
44,"ABBONAMENTI MUSEI TORINO","10137",6,2,6,53,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10129",7,7,56,72,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10078",1,23,12,65,"0"
44,"ABBONAMENTI MUSEI TORINO","10127",1,6,11,39,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10154",4,5,38,72,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10144",6,12,59,72,"0"
49,"ABBONAMENTI MUSEI TORINO","10048",1,4,6,57,"1"
44,"ABBONAMENTI MUSEI TORINO","12011",5,1,54,43,"0"
44,"ABBONAMENTI MUSEI TORINO","10137",1,2,2,60,"1"
28,"ABBONAMENTO RIDOTTO SCONTATO","10093",0,7,0,27,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10078",2,5,5,67,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10123",8,32,152,71,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10015",0,7,0,25,"1"
49,"ABBONAMENTI MUSEI TORINO","10020",0,5,0,64,"1"
